100, 100,0.0001
100, 300,0.0001
100, 500,0.0001
100, 1000,0.0001
100, 2000,0.0001
100, 4000,0.0001
300, 100,0.0002
300, 300,0.0003
300, 500,0.0003
300, 1000,0.0003
300, 2000,0.0003
300, 4000,0.0003
500, 100,0.0004
500, 300,0.0004
500, 500,0.0004
500, 1000,0.0004
500, 2000,0.0004
500, 4000,0.0004
1000, 100,0.0006
1000, 300,0.0007
1000, 500,0.0007
1000, 1000,0.0006
1000, 2000,0.0006
1000, 4000,0.0006
2000, 100,0.0011
2000, 300,0.0013
2000, 500,0.0011
2000, 1000,0.0012
2000, 2000,0.001
2000, 4000,0.001
4000, 100,0.0017
4000, 300,0.0021
4000, 500,0.0022
4000, 1000,0.0023
4000, 2000,0.0022
4000, 4000,0.0023
5000, 100,0.0019
5000, 300,0.0026
5000, 500,0.0027
5000, 1000,0.0029
5000, 2000,0.0028
5000, 4000,0.0028
8000, 100,0.0033
8000, 300,0.0042
8000, 500,0.0045
8000, 1000,0.0046
8000, 2000,0.0046
8000, 4000,0.0045
10000, 100,0.0041
10000, 300,0.0052
10000, 500,0.0052
10000, 1000,0.0056
10000, 2000,0.0057
10000, 4000,0.0057
